"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"57",3,1,12,12,12,12,3,2,12,12,12,12,0.118742355438142,0.152967321223365,0.0616057494984819,0.0400568265601534,0.0473769861712889,0.0286268549407584,0.317175797786287,0.152967321223365,0.0125006019643517,0.00802618846795644,0.00938940733832423,0.00486986525349881,0.316763988323563,0.289476884924099,0.0321386202794816,0.0174163230692869,0.0136548293505862,0.00985951805680272
"58",1,1,12,12,12,12,1,1,1,12,12,12,0.1780405667243,0.12528154899692,0.107425127462387,0.0473164557240064,0.0364255510304098,0.0265365784598957,0.1780405667243,0.12528154899692,0.0208454730496679,0.0121715251465341,0.00565126594178439,0.00525843342016532,0.337205902670954,0.188567726526807,0.129411060817836,0.022645282818154,0.00986049837216685,0.00927096192213013
"59",1,1,12,12,12,12,3,1,12,12,12,12,0.213628916760772,0.131059729454528,0.0843265796552124,0.0651896345347522,0.0278949353635821,0.0418010670446122,0.213628916760772,0.131059729454528,0.0233209787697794,0.0106981266664422,0.00635600348405836,0.00491600672441665,0.445063091309091,0.266780223007534,0.0546031186435487,0.0244592279474654,0.0132823557537177,0.00680957229463536
"60",1,1,12,12,12,12,1,3,12,12,12,12,0.240762466372722,0.110251353115852,0.0766964283387867,0.0572811801330285,0.0414292603543388,0.0311415046547531,0.240762466372722,0.110251353115852,0.0181894298378114,0.0100457897278892,0.00585189729871332,0.00605018324561915,0.299324649296989,0.571212945127359,0.042750874034978,0.0213796602488602,0.014472979781471,0.0114853838509489
"61",1,1,12,12,12,12,1,1,1,12,12,12,0.243288044652459,0.183173841724132,0.0434275698599606,0.0590422752769047,0.035504140131064,0.0332779645644041,0.243288044652459,0.183173841724132,0.015109737233105,0.0115747158069306,0.00849803848331044,0.00882396506280191,0.333416077349561,0.225068425836966,0.0880314040649588,0.0179819615411205,0.0154650047850452,0.0154724423759036
"62",1,1,12,12,12,12,1,1,1,12,12,12,0.228388157382842,0.18327242783909,0.0848315819980239,0.0537522067881442,0.0420327383415352,0.0274674210961002,0.228388157382842,0.18327242783909,0.0189970698808445,0.0105496902280469,0.00663395236931657,0.0040957407398304,0.656181012253516,0.223078874133048,0.159567667330813,0.0185316116769435,0.0159173677851941,0.00956525107649724
"63",1,1,12,12,12,12,1,1,12,12,12,12,0.260158894084799,0.109796296103896,0.0711058274506577,0.0480736655504636,0.0406241847644323,0.0310775479325634,0.260158894084799,0.109796296103896,0.0175277714966536,0.0108343132621817,0.0050697994832143,0.00402642558307589,0.3423350852227,0.210096656385165,0.0271880715278591,0.0171950163086885,0.00749503169937395,0.00971637356942402
"64",1,1,12,12,12,12,1,1,1,12,12,12,0.256944303935938,0.190787212920952,0.0961512740432665,0.0556357055744699,0.0552017997675637,0.0264883654840083,0.256944303935938,0.190787212920952,0.0430277470970957,0.0124256718855203,0.00995969283180009,0.00361657351460807,0.331120684423324,0.269107230309865,0.130746078892202,0.0201993817618899,0.0218556097651199,0.00641254381101967
"65",1,1,12,12,12,12,1,3,12,12,12,12,0.152619864470007,0.159739224904505,0.0861065670119738,0.0564890658485079,0.0334912860415304,0.0293545223197023,0.152619864470007,0.159739224904505,0.0226158604986477,0.0102301308786583,0.00713280047872849,0.00504421498788464,0.279176501215221,0.518020276924133,0.0570591804673141,0.021938625668931,0.0120847485583382,0.0110112548885455
"66",1,1,12,12,12,12,3,1,12,12,12,12,0.319533372399767,0.15871688128011,0.0683598349217535,0.0440986331479865,0.0333018417949871,0.0321323583208978,0.319533372399767,0.15871688128011,0.0107264859533661,0.00909457267082312,0.0051867446036941,0.00549608597336795,0.713284703921986,0.227886724782518,0.018136985021777,0.0174508283925828,0.00974993074149998,0.010748071593559
"67",3,1,12,12,12,12,3,1,1,12,12,12,0.16804597096744,0.228495811725961,0.0848585412406176,0.0519573496141775,0.0399552189693955,0.0286088494716182,0.534921785766396,0.228495811725961,0.012152418291341,0.0157773721298588,0.00506201279704015,0.00276668528738351,0.597309969131588,0.329545824831642,0.120184012463275,0.0181966667173841,0.0157055313534068,0.00717418993329931
"68",3,1,12,12,12,12,3,1,12,12,12,12,0.273419644457705,0.240684711266686,0.0960374102838863,0.0683949033677143,0.048554183915123,0.0329774079786265,0.387765577262546,0.240684711266686,0.022997840697827,0.0145687756386752,0.00569710777304252,0.00444336468958955,0.356517767142447,0.426683370515922,0.0318405407229913,0.0236813053597169,0.0104484443633576,0.0105304469295776
"69",1,1,12,12,12,12,3,1,12,12,12,12,0.206516487652362,0.123054218328209,0.081885031780526,0.0558696237243765,0.0487032486223026,0.0419305008710716,0.206516487652362,0.123054218328209,0.0108378609066771,0.00966210716805576,0.012958813609905,0.0135203113984743,0.444405516328911,0.194538398190115,0.0210588765588708,0.0169876558629524,0.0247272192197788,0.0142993708066841
"70",1,1,12,12,12,12,3,1,1,12,12,12,0.198397777877959,0.195395737459856,0.0786047009512133,0.0421639781065493,0.0416402383445341,0.0303425572711522,0.198397777877959,0.195395737459856,0.0226622716898512,0.00923283656384119,0.0129782727676267,0.00405963009198601,0.430300813412782,0.202394756378001,0.113645156380461,0.0152453816976991,0.0127117571515979,0.00914423117191549
"71",3,1,12,12,12,12,3,3,1,12,12,12,0.237885760252429,0.155511525572496,0.0600308521607469,0.0463902028804051,0.03630630762433,0.0342488186613644,0.454038570944234,0.155511525572496,0.0153514906838813,0.00963520048184508,0.00564046700854301,0.00448108294341875,0.543262077531994,0.416310285390198,0.114944152827974,0.0190850989207872,0.0121288362690625,0.0103372199345416
"72",3,1,12,12,12,12,3,1,12,12,12,12,0.211847795609608,0.218278684208861,0.0877313835023162,0.0437322813417365,0.0422034471372444,0.0424141147704311,0.37975190224254,0.218278684208861,0.0233634724949994,0.00726598552777438,0.00859127552239249,0.0077802116345813,0.378765696295155,0.251946870210652,0.0489758741705395,0.0197629773944985,0.0131327201597137,0.0135089714356293
"73",1,1,12,12,12,12,1,1,12,12,12,12,0.214394961000898,0.141888236712486,0.0779603816806107,0.0659962712569137,0.0351636549272354,0.030869102918045,0.214394961000898,0.141888236712486,0.0214137140668165,0.0132179619364805,0.00782789486943641,0.00591132776275667,0.2940889747128,0.203965605842321,0.0440754340940693,0.0339940155005526,0.0208628589744262,0.0129115519006535
"74",3,1,12,12,12,12,1,3,1,12,12,12,0.333907666295954,0.132924819921727,0.0577211115949365,0.0387706554972116,0.0442124040939052,0.0418893111504347,0.612739546953159,0.132924819921727,0.0147705186553252,0.00896307371224424,0.0110203272905199,0.0102403274759846,0.318966639952897,0.531342847702298,0.112689221235642,0.0217659934921323,0.0141804230903658,0.0154059039678728
